CHR	GENE_ID	GENE_NAME	SUBJECT_ID	tissue_num	data_pvalues	data_qvalues	data_lfdr	z_score	RME_effect	mosaic_category	is_significant
1	ENSG00000094963.13	FMO2	GTEX-YFC4	28	3.90E-77	1.06E-74	1.62E-06	4.948473619	frequent_RME	Autosome	TRUE
1	ENSG00000125945.14	ZNF436	GTEX-YFC4	34	1.28E-75	3.41E-73	1.62E-06	0.987305635	private_RME	Autosome	TRUE
8	ENSG00000178209.14	PLEC	GTEX-YFC4	34	1.99E-75	5.18E-73	1.62E-06	3.803333135	frequent_RME	Autosome	TRUE
20	ENSG00000101204.16	CHRNA4	GTEX-YFC4	16	8.56E-75	2.18E-72	1.62E-06	2.604349049	frequent_RME	Autosome	TRUE
20	ENSG00000149451.17	ADAM33	GTEX-YFC4	32	1.12E-74	2.79E-72	1.62E-06	4.07274049	frequent_RME	Autosome	TRUE
5	ENSG00000247121.6	CTD-2260A17.2	GTEX-YFC4	34	1.70E-74	4.16E-72	1.62E-06	3.159683539	frequent_RME	Autosome	TRUE
12	ENSG00000135090.13	TAOK3	GTEX-YFC4	34	2.89E-74	6.94E-72	1.62E-06	3.215853548	frequent_RME	Autosome	TRUE
2	ENSG00000115523.16	GNLY	GTEX-YFC4	31	3.13E-73	7.37E-71	1.62E-06	3.408412412	frequent_RME	Autosome	TRUE
2	ENSG00000175084.11	DES	GTEX-YFC4	34	5.77E-73	1.34E-70	1.62E-06	4.841050356	frequent_RME	Autosome	TRUE
5	ENSG00000164308.16	ERAP2	GTEX-YFC4	34	3.76E-72	8.56E-70	1.62E-06	4.017244593	frequent_RME	Autosome	TRUE
21	ENSG00000173638.18	SLC19A1	GTEX-YFC4	33	4.33E-72	9.67E-70	1.62E-06	4.459737776	frequent_RME	Autosome	TRUE
12	ENSG00000257815.5	LINC01481	GTEX-YFC4	31	4.02E-71	8.84E-69	1.62E-06	0.714128794	private_RME	Autosome	TRUE
7	ENSG00000106565.17	TMEM176B	GTEX-YFC4	34	6.33E-71	1.35E-68	1.62E-06	4.34075556	frequent_RME	Autosome	TRUE
10	ENSG00000138316.10	ADAMTS14	GTEX-YFC4	30	6.34E-71	1.35E-68	1.62E-06	2.124635511	frequent_RME	Autosome	TRUE
1	ENSG00000188257.10	PLA2G2A	GTEX-YFC4	4	7.04E-71	1.47E-68	1.62E-06	3.762280586	frequent_RME	Autosome	TRUE
9	ENSG00000107317.12	PTGDS	GTEX-YFC4	34	1.67E-67	3.43E-65	1.62E-06	2.978838142	frequent_RME	Autosome	TRUE
4	ENSG00000159674.11	SPON2	GTEX-YFC4	34	2.52E-67	5.09E-65	1.62E-06	1.993104765	common_RME	Autosome	TRUE
1	ENSG00000182109.7	RP11-69E11.4	GTEX-YFC4	34	1.12E-66	2.24E-64	1.62E-06	4.753243514	frequent_RME	Autosome	TRUE
1	ENSG00000135744.7	AGT	GTEX-YFC4	32	4.02E-65	7.87E-63	1.62E-06	2.471468462	frequent_RME	Autosome	TRUE
8	ENSG00000042832.11	TG	GTEX-YFC4	29	4.81E-65	9.28E-63	1.62E-06	1.272074851	common_RME	Autosome	TRUE
1	ENSG00000225243.5	RP1-127D3.4	GTEX-YFC4	27	5.06E-63	9.62E-61	1.62E-06	4.971574039	frequent_RME	Autosome	TRUE
2	ENSG00000163359.15	COL6A3	GTEX-YFC4	28	1.32E-62	2.46E-60	1.62E-06	3.406648514	frequent_RME	Autosome	TRUE
5	ENSG00000113140.10	SPARC	GTEX-YFC4	34	5.25E-62	9.70E-60	1.62E-06	4.133717464	frequent_RME	Autosome	TRUE
8	ENSG00000147408.14	CSGALNACT1	GTEX-YFC4	34	7.12E-62	1.30E-59	1.62E-06	3.261837754	frequent_RME	Autosome	TRUE
10	ENSG00000172987.12	HPSE2	GTEX-YFC4	26	1.70E-61	3.06E-59	1.62E-06	1.319668093	common_RME	Autosome	TRUE
10	ENSG00000099194.5	SCD	GTEX-YFC4	33	1.05E-60	1.85E-58	1.62E-06	2.517827668	frequent_RME	Autosome	TRUE
10	ENSG00000134463.14	ECHDC3	GTEX-YFC4	32	2.75E-60	4.80E-58	1.62E-06	3.854726928	frequent_RME	Autosome	TRUE
22	ENSG00000198125.12	MB	GTEX-YFC4	24	9.99E-60	1.72E-57	1.62E-06	3.456611194	frequent_RME	Autosome	TRUE
7	ENSG00000106538.9	RARRES2	GTEX-YFC4	34	1.13E-59	1.92E-57	1.62E-06	3.826276676	frequent_RME	Autosome	TRUE
6	ENSG00000186340.14	THBS2	GTEX-YFC4	34	5.59E-59	9.37E-57	1.62E-06	4.291840262	frequent_RME	Autosome	TRUE
22	ENSG00000237037.9	NDUFA6-AS1	GTEX-YFC4	33	3.37E-56	5.58E-54	1.62E-06	2.443076708	frequent_RME	Autosome	TRUE
17	ENSG00000204650.14	LINC02210	GTEX-YFC4	34	7.63E-56	1.25E-53	1.62E-06	4.365088036	frequent_RME	Autosome	TRUE
5	ENSG00000164171.10	ITGA2	GTEX-YFC4	31	8.41E-56	1.36E-53	1.62E-06	1.932448723	common_RME	Autosome	TRUE
6	ENSG00000226445.1	XXyac-YX65C7_A.2	GTEX-YFC4	34	2.38E-55	3.78E-53	1.62E-06	4.098873479	frequent_RME	Autosome	TRUE
6	ENSG00000145996.11	CDKAL1	GTEX-YFC4	33	5.52E-55	8.68E-53	1.62E-06	-0.181878655	private_RME	Autosome	TRUE
5	ENSG00000211445.11	GPX3	GTEX-YFC4	34	3.68E-54	5.72E-52	1.62E-06	4.180112987	frequent_RME	Autosome	TRUE
3	ENSG00000069849.10	ATP1B3	GTEX-YFC4	34	1.05E-53	1.59E-51	1.62E-06	2.317510751	frequent_RME	Autosome	TRUE
16	ENSG00000196502.11	SULT1A1	GTEX-YFC4	33	2.05E-53	3.07E-51	1.62E-06	2.346827025	frequent_RME	Autosome	TRUE
6	ENSG00000214922.9	HLA-F-AS1	GTEX-YFC4	34	8.41E-52	1.25E-49	1.62E-06	2.634013523	frequent_RME	Autosome	TRUE
10	ENSG00000122367.19	LDB3	GTEX-YFC4	30	9.32E-52	1.36E-49	1.62E-06	2.120059272	frequent_RME	Autosome	TRUE
4	ENSG00000184985.16	SORCS2	GTEX-YFC4	33	2.17E-51	3.15E-49	1.62E-06	2.876451235	frequent_RME	Autosome	TRUE
15	ENSG00000261543.1	RP11-665J16.1	GTEX-YFC4	33	1.95E-48	2.76E-46	1.62E-06	2.376471957	frequent_RME	Autosome	TRUE
9	ENSG00000165272.14	AQP3	GTEX-YFC4	18	2.67E-48	3.74E-46	1.62E-06	3.292877093	frequent_RME	Autosome	TRUE
15	ENSG00000129009.12	ISLR	GTEX-YFC4	33	3.12E-48	4.33E-46	1.62E-06	2.426362208	frequent_RME	Autosome	TRUE
15	ENSG00000166923.10	GREM1	GTEX-YFC4	27	8.89E-48	1.22E-45	1.62E-06	3.055644574	frequent_RME	Autosome	TRUE
1	ENSG00000143196.4	DPT	GTEX-YFC4	20	1.62E-47	2.19E-45	1.62E-06	2.397222769	frequent_RME	Autosome	TRUE
21	ENSG00000160284.14	SPATC1L	GTEX-YFC4	31	4.60E-47	6.17E-45	1.62E-06	0.878112432	private_RME	Autosome	TRUE
1	ENSG00000270605.1	RP5-1092A3.4	GTEX-YFC4	29	4.78E-47	6.35E-45	1.62E-06	4.833671629	frequent_RME	Autosome	TRUE
8	ENSG00000155926.13	SLA	GTEX-YFC4	26	9.46E-47	1.24E-44	1.62E-06	1.173823436	common_RME	Autosome	TRUE
19	ENSG00000087086.14	FTL	GTEX-YFC4	34	5.88E-46	7.64E-44	1.62E-06	4.04816768	frequent_RME	Autosome	TRUE
11	ENSG00000142102.15	PGGHG	GTEX-YFC4	34	9.20E-46	1.18E-43	1.62E-06	4.865441145	frequent_RME	Autosome	TRUE
19	ENSG00000267924.1	RP11-255H23.4	GTEX-YFC4	28	5.95E-44	7.58E-42	1.62E-06	2.206845104	frequent_RME	Autosome	TRUE
11	ENSG00000168071.21	CCDC88B	GTEX-YFC4	34	1.03E-43	1.28E-41	1.62E-06	1.299892857	common_RME	Autosome	TRUE
17	ENSG00000108556.7	CHRNE	GTEX-YFC4	34	1.30E-43	1.61E-41	1.62E-06	1.896758005	common_RME	Autosome	TRUE
21	ENSG00000142156.14	COL6A1	GTEX-YFC4	33	1.49E-42	1.82E-40	1.62E-06	4.192862511	frequent_RME	Autosome	TRUE
7	ENSG00000106483.11	SFRP4	GTEX-YFC4	31	2.24E-42	2.72E-40	1.62E-06	2.758190389	frequent_RME	Autosome	TRUE
18	ENSG00000197971.14	MBP	GTEX-YFC4	34	2.69E-42	3.23E-40	1.62E-06	2.010309934	frequent_RME	Autosome	TRUE
14	ENSG00000198732.10	SMOC1	GTEX-YFC4	29	7.74E-42	9.21E-40	1.62E-06	2.587341418	frequent_RME	Autosome	TRUE
22	ENSG00000225783.6	MIAT	GTEX-YFC4	29	2.14E-41	2.50E-39	1.62E-06	2.26172438	frequent_RME	Autosome	TRUE
12	ENSG00000090382.6	LYZ	GTEX-YFC4	30	2.41E-41	2.79E-39	1.62E-06	3.52394773	frequent_RME	Autosome	TRUE
7	ENSG00000196247.11	ZNF107	GTEX-YFC4	25	3.96E-41	4.54E-39	1.62E-06	2.554236249	frequent_RME	Autosome	TRUE
17	ENSG00000131095.12	GFAP	GTEX-YFC4	22	5.55E-41	6.31E-39	1.62E-06	2.120477718	frequent_RME	Autosome	TRUE
11	ENSG00000134817.10	APLNR	GTEX-YFC4	29	9.02E-41	1.02E-38	1.62E-06	0.425500563	private_RME	Autosome	TRUE
3	ENSG00000163931.15	TKT	GTEX-YFC4	34	1.15E-40	1.27E-38	1.62E-06	2.171005576	frequent_RME	Autosome	TRUE
7	ENSG00000136235.15	GPNMB	GTEX-YFC4	34	1.15E-40	1.27E-38	1.62E-06	3.727204308	frequent_RME	Autosome	TRUE
8	ENSG00000104518.10	GSDMD	GTEX-YFC4	34	2.16E-39	2.37E-37	1.62E-06	1.410839155	common_RME	Autosome	TRUE
17	ENSG00000186868.15	MAPT	GTEX-YFC4	34	9.77E-39	1.06E-36	1.62E-06	2.100052999	frequent_RME	Autosome	TRUE
19	ENSG00000196268.11	ZNF493	GTEX-YFC4	34	8.57E-38	9.17E-36	1.62E-06	0.903904871	private_RME	Autosome	TRUE
1	ENSG00000188976.10	NOC2L	GTEX-YFC4	34	9.08E-38	9.63E-36	1.62E-06	-0.204163986	private_RME	Autosome	TRUE
20	ENSG00000203900.2	RP11-261N11.8	GTEX-YFC4	15	1.15E-37	1.21E-35	1.62E-06	2.206845104	frequent_RME	Autosome	TRUE
11	ENSG00000157570.11	TSPAN18	GTEX-YFC4	30	1.61E-37	1.69E-35	1.62E-06	0.984954716	private_RME	Autosome	TRUE
11	ENSG00000084207.15	GSTP1	GTEX-YFC4	34	1.93E-37	2.00E-35	1.62E-06	3.756768901	frequent_RME	Autosome	TRUE
2	ENSG00000180902.17	D2HGDH	GTEX-YFC4	34	2.90E-37	2.98E-35	1.62E-06	2.246289583	frequent_RME	Autosome	TRUE
5	ENSG00000225138.7	CTD-2228K2.7	GTEX-YFC4	34	1.11E-36	1.14E-34	1.62E-06	4.512211984	frequent_RME	Autosome	TRUE
3	ENSG00000114115.9	RBP1	GTEX-YFC4	32	1.24E-36	1.26E-34	1.62E-06	0.854819302	private_RME	Autosome	TRUE
5	ENSG00000198055.10	GRK6	GTEX-YFC4	34	1.52E-36	1.52E-34	1.62E-06	-0.200837179	private_RME	Autosome	TRUE
6	ENSG00000164694.16	FNDC1	GTEX-YFC4	23	4.02E-36	3.97E-34	1.62E-06	2.815828038	frequent_RME	Autosome	TRUE
7	ENSG00000106624.10	AEBP1	GTEX-YFC4	34	1.50E-35	1.45E-33	1.62E-06	3.979549267	frequent_RME	Autosome	TRUE
5	ENSG00000066230.10	SLC9A3	GTEX-YFC4	34	1.62E-35	1.55E-33	1.62E-06	4.555413641	frequent_RME	Autosome	TRUE
5	ENSG00000113504.20	SLC12A7	GTEX-YFC4	34	2.14E-35	2.03E-33	1.62E-06	2.43958613	frequent_RME	Autosome	TRUE
6	ENSG00000181126.13	HLA-V	GTEX-YFC4	33	2.42E-35	2.28E-33	1.62E-06	3.756548635	frequent_RME	Autosome	TRUE
19	ENSG00000104879.4	CKM	GTEX-YFC4	26	5.34E-35	5.01E-33	1.62E-06	3.381066774	frequent_RME	Autosome	TRUE
16	ENSG00000168928.12	CTRB2	GTEX-YFC4	14	5.91E-35	5.50E-33	1.62E-06	2.26172438	frequent_RME	Autosome	TRUE
16	ENSG00000103034.14	NDRG4	GTEX-YFC4	32	7.31E-35	6.75E-33	1.62E-06	2.131888044	frequent_RME	Autosome	TRUE
7	ENSG00000002933.7	TMEM176A	GTEX-YFC4	34	1.37E-34	1.26E-32	1.62E-06	4.936414343	frequent_RME	Autosome	TRUE
9	ENSG00000136810.12	TXN	GTEX-YFC4	34	2.64E-34	2.40E-32	1.62E-06	2.100991006	frequent_RME	Autosome	TRUE
5	ENSG00000120708.16	TGFBI	GTEX-YFC4	34	3.40E-34	3.07E-32	1.62E-06	3.568747139	frequent_RME	Autosome	TRUE
1	ENSG00000133048.12	CHI3L1	GTEX-YFC4	23	4.76E-34	4.27E-32	1.62E-06	4.372081996	frequent_RME	Autosome	TRUE
6	ENSG00000204525.16	HLA-C	GTEX-YFC4	34	2.53E-33	2.25E-31	1.62E-06	5.411024591	frequent_RME	Autosome	TRUE
7	ENSG00000106484.14	MEST	GTEX-YFC4	28	2.57E-33	2.28E-31	1.62E-06	5.460863356	frequent_RME	Autosome	TRUE
6	ENSG00000112096.16	SOD2	GTEX-YFC4	34	3.32E-33	2.92E-31	1.62E-06	4.344750815	frequent_RME	Autosome	TRUE
12	ENSG00000177990.11	DPY19L2	GTEX-YFC4	31	3.60E-33	3.14E-31	1.62E-06	3.015895043	frequent_RME	Autosome	TRUE
3	ENSG00000248932.5	RP11-319G6.1	GTEX-YFC4	33	4.29E-33	3.69E-31	1.62E-06	0.651360622	private_RME	Autosome	TRUE
12	ENSG00000069493.14	CLEC2D	GTEX-YFC4	34	4.36E-33	3.73E-31	1.62E-06	1.451975061	common_RME	Autosome	TRUE
18	ENSG00000166347.18	CYB5A	GTEX-YFC4	34	5.51E-33	4.68E-31	1.62E-06	3.099880596	frequent_RME	Autosome	TRUE
12	ENSG00000084110.10	HAL	GTEX-YFC4	12	6.38E-33	5.38E-31	1.62E-06	2.014767637	frequent_RME	Autosome	TRUE
5	ENSG00000161010.14	MRNIP	GTEX-YFC4	34	1.16E-32	9.64E-31	1.62E-06	2.867356391	frequent_RME	Autosome	TRUE
17	ENSG00000154262.12	ABCA6	GTEX-YFC4	28	2.06E-32	1.70E-30	1.62E-06	1.379532086	common_RME	Autosome	TRUE
21	ENSG00000142173.14	COL6A2	GTEX-YFC4	34	2.11E-32	1.72E-30	1.62E-06	5.031934794	frequent_RME	Autosome	TRUE
19	ENSG00000130203.9	APOE	GTEX-YFC4	31	2.37E-32	1.92E-30	1.62E-06	2.821492996	frequent_RME	Autosome	TRUE
20	ENSG00000087460.24	GNAS	GTEX-YFC4	34	4.14E-32	3.34E-30	1.62E-06	4.438602331	frequent_RME	Autosome	TRUE
2	ENSG00000071967.11	CYBRD1	GTEX-YFC4	34	2.33E-31	1.86E-29	1.62E-06	4.311957848	frequent_RME	Autosome	TRUE
3	ENSG00000082781.11	ITGB5	GTEX-YFC4	34	4.24E-31	3.38E-29	1.62E-06	2.012853244	frequent_RME	Autosome	TRUE
7	ENSG00000271550.1	BNIP3P11	GTEX-YFC4	14	6.37E-31	5.01E-29	1.62E-06	1.431675329	common_RME	Autosome	TRUE
4	ENSG00000156219.16	ART3	GTEX-YFC4	30	1.03E-30	8.03E-29	1.62E-06	2.896756003	frequent_RME	Autosome	TRUE
16	ENSG00000140988.15	RPS2	GTEX-YFC4	34	1.07E-30	8.28E-29	1.62E-06	1.951118992	common_RME	Autosome	TRUE
2	ENSG00000042493.15	CAPG	GTEX-YFC4	34	3.12E-30	2.41E-28	1.62E-06	3.52394773	frequent_RME	Autosome	TRUE
12	ENSG00000139190.16	VAMP1	GTEX-YFC4	34	4.62E-30	3.54E-28	1.62E-06	1.936670206	common_RME	Autosome	TRUE
1	ENSG00000123836.14	PFKFB2	GTEX-YFC4	34	1.33E-29	1.01E-27	1.62E-06	1.449697125	common_RME	Autosome	TRUE
1	ENSG00000116688.16	MFN2	GTEX-YFC4	34	2.35E-29	1.78E-27	1.62E-06	2.068453886	frequent_RME	Autosome	TRUE
20	ENSG00000185513.14	L3MBTL1	GTEX-YFC4	31	3.70E-29	2.79E-27	1.62E-06	3.504260097	frequent_RME	Autosome	TRUE
8	ENSG00000253715.1	RP11-706C16.8	GTEX-YFC4	4	3.81E-29	2.85E-27	1.62E-06	2.65608941	frequent_RME	Autosome	TRUE
7	ENSG00000240583.11	AQP1	GTEX-YFC4	33	6.50E-29	4.85E-27	1.62E-06	2.579910442	frequent_RME	Autosome	TRUE
8	ENSG00000253859.2	RP11-157I4.4	GTEX-YFC4	29	8.37E-29	6.20E-27	1.62E-06	2.556339441	frequent_RME	Autosome	TRUE
11	ENSG00000184232.8	OAF	GTEX-YFC4	33	1.04E-28	7.64E-27	1.62E-06	1.64528972	common_RME	Autosome	TRUE
8	ENSG00000167656.4	LY6D	GTEX-YFC4	4	1.54E-28	1.13E-26	1.62E-06	2.478628185	frequent_RME	Autosome	TRUE
15	ENSG00000140545.14	MFGE8	GTEX-YFC4	34	1.62E-28	1.18E-26	1.62E-06	4.511774699	frequent_RME	Autosome	TRUE
10	ENSG00000151640.12	DPYSL4	GTEX-YFC4	26	2.29E-28	1.66E-26	1.62E-06	1.820797782	common_RME	Autosome	TRUE
11	ENSG00000110328.5	GALNT18	GTEX-YFC4	32	3.76E-28	2.71E-26	1.62E-06	2.122602377	frequent_RME	Autosome	TRUE
8	ENSG00000277586.2	NEFL	GTEX-YFC4	16	1.68E-27	1.20E-25	1.62E-06	1.150789845	common_RME	Autosome	TRUE
8	ENSG00000167653.4	PSCA	GTEX-YFC4	18	2.20E-27	1.56E-25	1.62E-06	4.157170146	frequent_RME	Autosome	TRUE
1	ENSG00000116857.16	TMEM9	GTEX-YFC4	34	2.26E-27	1.60E-25	1.62E-06	0.5875501	private_RME	Autosome	TRUE
20	ENSG00000101439.8	CST3	GTEX-YFC4	34	2.43E-27	1.71E-25	1.62E-06	3.484035529	frequent_RME	Autosome	TRUE
4	ENSG00000170509.11	HSD17B13	GTEX-YFC4	22	3.43E-27	2.40E-25	1.62E-06	2.192450539	frequent_RME	Autosome	TRUE
4	ENSG00000145476.15	CYP4V2	GTEX-YFC4	34	3.74E-27	2.60E-25	1.62E-06	2.115235603	frequent_RME	Autosome	TRUE
2	ENSG00000162878.12	PKDCC	GTEX-YFC4	33	6.09E-27	4.22E-25	1.62E-06	3.122906866	frequent_RME	Autosome	TRUE
15	ENSG00000171766.15	GATM	GTEX-YFC4	34	8.76E-27	6.03E-25	1.62E-06	4.410459112	frequent_RME	Autosome	TRUE
16	ENSG00000171724.2	VAT1L	GTEX-YFC4	23	9.90E-27	6.78E-25	1.62E-06	3.188574376	frequent_RME	Autosome	TRUE
15	ENSG00000166825.13	ANPEP	GTEX-YFC4	24	1.72E-26	1.17E-24	1.62E-06	3.381512967	frequent_RME	Autosome	TRUE
6	ENSG00000118495.18	PLAGL1	GTEX-YFC4	27	1.75E-26	1.19E-24	1.62E-06	3.841431145	frequent_RME	Autosome	TRUE
11	ENSG00000142089.15	IFITM3	GTEX-YFC4	34	2.19E-26	1.48E-24	1.62E-06	4.514910658	frequent_RME	Autosome	TRUE
21	ENSG00000160282.13	FTCD	GTEX-YFC4	26	2.28E-26	1.53E-24	1.62E-06	2.03123142	frequent_RME	Autosome	TRUE
21	ENSG00000160190.13	SLC37A1	GTEX-YFC4	34	2.53E-26	1.68E-24	1.62E-06	1.974415228	common_RME	Autosome	TRUE
11	ENSG00000251661.3	RP11-326C3.11	GTEX-YFC4	34	2.54E-26	1.69E-24	1.62E-06	4.113695174	frequent_RME	Autosome	TRUE
10	ENSG00000176769.9	TCERG1L	GTEX-YFC4	14	4.70E-26	3.10E-24	1.62E-06	1.271009027	common_RME	Autosome	TRUE
11	ENSG00000175274.18	TP53I11	GTEX-YFC4	34	5.14E-26	3.37E-24	1.62E-06	1.670881264	common_RME	Autosome	TRUE
2	ENSG00000144152.12	FBLN7	GTEX-YFC4	21	2.18E-25	1.41E-23	1.62E-06	0.04720284	private_RME	Autosome	TRUE
4	ENSG00000164111.14	ANXA5	GTEX-YFC4	34	2.39E-25	1.54E-23	1.62E-06	2.709610084	frequent_RME	Autosome	TRUE
15	ENSG00000128989.10	ARPP19	GTEX-YFC4	34	4.11E-25	2.63E-23	1.62E-06	0.110810817	private_RME	Autosome	TRUE
19	ENSG00000022556.15	NLRP2	GTEX-YFC4	20	6.33E-25	4.03E-23	1.62E-06	3.998579306	frequent_RME	Autosome	TRUE
19	ENSG00000141934.9	PLPP2	GTEX-YFC4	24	7.12E-25	4.52E-23	1.62E-06	2.815506166	frequent_RME	Autosome	TRUE
1	ENSG00000158769.17	F11R	GTEX-YFC4	34	8.61E-25	5.43E-23	1.62E-06	1.304653928	common_RME	Autosome	TRUE
9	ENSG00000107263.18	RAPGEF1	GTEX-YFC4	34	1.63E-24	1.02E-22	1.62E-06	0.653339442	private_RME	Autosome	TRUE
8	ENSG00000136999.4	NOV	GTEX-YFC4	33	3.15E-24	1.97E-22	1.62E-06	3.214199668	frequent_RME	Autosome	TRUE
16	ENSG00000102858.12	MGRN1	GTEX-YFC4	34	3.76E-24	2.34E-22	1.62E-06	1.976070712	common_RME	Autosome	TRUE
19	ENSG00000233836.7	RP11-255H23.2	GTEX-YFC4	28	3.88E-24	2.40E-22	1.62E-06	2.198151357	frequent_RME	Autosome	TRUE
1	ENSG00000185436.11	IFNLR1	GTEX-YFC4	27	4.93E-24	3.04E-22	1.62E-06	1.638963899	common_RME	Autosome	TRUE
